embarrassed,apenado/a
pregnant,embarazada
exit,la salida
success,el éxito
injury,la herida
parents,los padres
relatives,los parientes
100,cien
200,doscientos
1000,mil
"1,000,000",un millón
1st,primero (primera)
2nd,segundo (segunda)
3rd,tercero (tecera)
How much?,¿Cuánto? (cuánta)
How many?,¿Cuantos? (cuantas)
a little ,un poco
"a lot, much",mucho (mucha)
many,muchos (muchas)
some,algunos (algunas)
noon,mediodía
midnight,medianoche
in the morning,de la mañana
in the afternoon,de la tarde
in the evening,de la noche
sunrise,el amanecer
dawn,la madrugada
morning,la mañana
day,el día
afternoon,la tarde
evening,la noche
sunset,el atardecer
Monday,lunes [m]
Tuesday,martes [m]
Wednesday,miércoles [m]
Thursday,jueves [m]
Friday,viernes [m]
Saturday,sábado [m]
Sunday,domingo [m]
January,enero [m]
February,febrero [m]
March,marzo [m]
April,abril [m]
May,mayo [m]
June,junio [m]
July,julio [m]
August,agosto [m]
September,septiembre [m]
October,octubre [m]
November,noviembre [m]
December,diciembre [m]
summer,verano [m]
autumn,otoño [m]
winter,invierno [m]
spring,primavera (f)
now,ahora
right now,ahora mismo
today,hoy
tonight,esta noche
this morning,esta mañana
this afternoon,esta tarde
this week,esta semana
this month,este mes
this year,este año
yesterday,ayer
yesterday morning,ayer en la mañana
yesterday afternoon,ayer en la tarde
yesterday evening,ayer en la noche
day before yesterday,antier
three days ago,hace tres días
since May,desde mayo
last night,anoche
last week,la semana pasada
last month,el mes pasado
last year,el año pasado
tomorrow,mañana
tomorrow morning,mañana en la mañana
tomorrow afternoon,mañana en la tarde
tomorrow evening,mañana en la noche
day after tomorrow,pasado mañana
in six days,en seis días
until June,hasta junio
next week,la próxima semana
next month,"el próximo mes [std], el mes que viene [conv]"
next year,"el próximo año [std], el año que viene [conv]"
