Good morning.,Buenos días. [used from daylight until noon]
Good afternoon.,Buenas tardes. [used from noon until 7pm or dark]
Good evening.,Buenas noches. [used from 7pm or dark]
Goodbye.,Adiós. [also used when passing and making eye contact with someone]
Hello.,Hola. [informal greeting used with children or friends]
"Hello, good morning.","Hola, buenos días. [formally]"
Good morning. How are you? [f],Buenos días. ¿Cómo está? [f]
"Very well, thank you. And you? [f]",Muy bien gracias. ¿Y usted? [f]
Goodbye. Until later.,Adiós. Hasta luego.
Goodbye. Good night.,Adiós. Buenas noches.
"Excuse me, please. [used to pass by someone in the way]","Con permiso, por favor. [or just con permiso]"
Go ahead. [in response to con permiso],Adelante. [or Pase] [or Propio.]
"The check, please.","La cuenta, por favor."
Enjoy your meal. [said in passing people eating],Buen provecho.
I don't understand.,No entiendo.
"Could you repeat that, please.","Repita, por favor."
"More slowly, please.","Más despacio, por favor."
I don't speak Spanish very well.,No hablo español very well.
I need to practice my Spanish.,Necesito practicar mi español.
How much does it cost?,¿Cuánto cuesta?
