"to fix, arrange",arreglar
to help,ayudar
to dance,bailar
"to lower, get out [of a vehicle]",bajar
to look for,buscar
"to change, exchange",cambiar
to walk,caminar
to sing,cantar
to close,cerrar
to cook,cocinar
to buy,comprar
to answer,contestar
to give,dar
to leave behind,dejar
to quit,dejar de
to remove,quitar [from a surface]
to rest,descansar
to start,empezar
"to find, encounter",encontrar
to listen to,escuchar
"to wait [for], hope",esperar
"to be [feelings, locations]",estar
to study,estudiar
to sign,firmar
"to earn, win",ganar
"to spend, waste",gastar
to speak,hablar
to invite,invitar
to play [a sport or game],jugar
to wash,lavar
to arrive [to a specific destination],llegar
to fill,llenar
"to carry, wear",llevar
to clean,limpiar
"to mail, send, command",mandar
"to drive, manage",manejar
to need,necesitar
to forget,olvidar
to sort,ordenar
to pay,pagar
"to pass, happen, spend [time]",pasar
to pass by,pasar por
to think,pensar
to think about,pensar en
to chat,platicar
"to ask, question",preguntar
to prepare,preparar
to introduce,presentar
"to test, taste",probar
to recommend,recomendar
to remember,recordar
to return,regresar
"to take out, take [a photo]",sacar
"to finish, terminate",terminar
"to play [an instrument], touch",tocar
"to drink, take [a mode of transport]",tomar
to work,trabajar
to try,tratar
to try to,tratar de
to use,usar
to travel,viajar
to visit,visitar
to want,querer
to go,ir
to be able to [can],poder
to like,gustar
to have,tener
to have to,tener que
