to open,abrir
to learn,aprender
to eat,comer
"to know, meet [first time]",conocer
"to get, obtain",conseguir
"to run, flow",correr
to believe,creer
to decide,decider
"to say, tell",decir
to sleep,dormir
to understand,entender
to write,escribir
"to do, make",hacer
to go,ir
to read,leer
to move [something],mover
to hear,oír
to ask for,pedir
to lose,perder
to put,poner
to receive,recibir
to know [information],saber
"to leave, go out",salir
to follow,seguir
to be [permanent],ser
"to go up, get into [a vehicle]",subir
to bring,traer
to sell,vender
"to see, watch",ver
to come,venir
to live,vivir
to return,volver
