"to measure";"medir"
"to compete";"competir"
"to close";"cerrar"
"to warm up";"calentar"
"to wake up";"despertar"
"to sit";"sentar"
"to try";"probar"
"to eat lunch";"almorzar"
"to hang";"colgar"
"to fry";"freír"
"to get dressed";"vestir"
"to obtain/get";"obtener"
"to sustain/support";"sostener"
"to maintain";"mantener"
"to entertain";"entretener"
"to detain/stop";"detener"
"to contain";"contener"
"to return something";"devolver"
"to move";"mover"
"to smell";"oler"
"to recommend";"recomendar"
"to play";"jugar"
