to access / enter,acceder
to save (money),ahorrar
to rent,alquilar
word,answer
to help,ayudar
to dance,bailar
to look for,buscar
to change,cambiar
to walk,caminar
to cancel,cancelar
to cook,cocinar
to buy,comprar
to answer,contestar
to rest,descansar
to draw,dibujar
to begin / start,empezar
to enter / go in,entrar
to send / ship,enviar
to listen,escuchar
to wait / hope,esperar
to study,estudiar
to explain,explicar
to win / earn,ganar
to speak / talk,hablar
to try / attempt,intentar
to invite,invitar
to wash,lavar
to clean,limpiar
to call,llamar
to arrive,llegar
to carry / wear / take,llevar
to send,mandar
to look at / watch,mirar
to show,mostrar
to need,necesitar
to forget,olvidar
to pay,pagar
to practice,practicar
to ask (a question),preguntar
to prepare,preparar
to stay / remain,quedar
to remember,recordar
to return / come back,regresar
to revisit,revisitar
to finish,terminar
to play (instrument) / knock,tocar
to take / drink,tomar
to work,trabajar
to use,usar
to travel,viajar
to visit,visitar
